,FIPS_ST,FIPS_CTY,crime_rate_2010,crime_rate_2011,crime_rate_2012,crime_rate_2013,crime_rate_2014
822,19,53,0.008158921603405462,0.006039255158530448,0.001544799176107106,0.0100997809686055,0.006679861454725384
823,19,55,0.007599639720783607,0.008008064064512516,0.007615931400203091,0.009058280635788753,0.011651150836712547
824,19,57,0.03494110353378797,0.04045786461417012,0.04131432114073156,0.03459438088413353,0.03675710276232212
825,19,59,0.010799784004319914,0.014444311806135849,0.009490126731506041,0.014719626168224299,0.008438818565400843
826,19,61,0.02364045999594247,0.021839117087834464,0.023775193390517285,0.021336146125969943,0.01980341889212949
827,19,63,0.014657348087749952,0.019312475859405175,0.015084294587400177,0.013972847091467644,0.01558258771488891
828,19,65,0.012404214559386973,0.011339272952498928,0.011779234349767265,0.011571517741393384,0.016282026207705847
829,19,67,0.010243513463779672,0.011105687088113254,0.013079593354822713,0.011862396204033215,0.010019915359721184
830,19,69,0.0022471910112359553,0.004683318465655665,0.007333828444114371,0.006545868513423774,0.00132890365448505
832,19,73,0.010818337617823479,0.003942461374533831,0.003111254157279262,0.007128756306207502,0.007025246981339188
833,19,75,0.007949891592387376,0.008787346221441126,0.0064763732309906456,0.006089255668616297,0.007882333820900374
834,19,77,0.0064816505386160305,0.004540913631822722,0.005482957141551677,0.004,0.00488492249882574
835,19,79,0.02456453774006253,0.015867978419549348,0.020259007565072446,0.01884200196270854,0.016443920335429768
836,19,81,0.016224318843135525,0.006420351302241066,0.0046313223644119435,0.010895011705384476,0.004880694143167028
837,19,83,0.01619710277175773,0.01719051401338931,0.019778209671887505,0.018351279379414148,0.015667390124796527
838,19,85,0.01319667738478028,0.0117286418765827,0.011487303506650543,0.009710391822827938,0.0050899456142797376
839,19,87,0.02263261727312582,0.020878761447884867,0.01962485091618779,0.017675124701800042,0.02115855316834376
840,19,89,0.018398494668618023,0.015079034941763728,0.009997917100604041,0.009696590553644042,0.01384083044982699
841,19,91,0.005807437595517066,0.007703223190756132,0.00894308943089431,0.013566289825282631,0.007128835623514826
842,19,93,0.009028071660318803,0.006455234353073253,0.013918177983973008,0.007564084605687071,0.013244109856405967
843,19,95,0.010027514521553042,0.008211179368651542,0.012024659708234145,0.008155699721964782,0.00690455823047782
844,19,97,0.01314993954050786,0.04731810079403662,0.01610224928294671,0.033641160949868076,0.010579576816927323
845,19,99,0.019352912436892678,0.022114216281895506,0.022268254790264112,0.021843599825251202,0.024023123278706406
