,Population,Hispanic_Latino,White,Black,Asian,Urban,NAME,state,county,Hispanic_Latino_share,White_share,Black_share,Asian_share
1840,47980,1560,44706,691,363,0,Delaware County,36,025,0.03251354731137974,0.9317632346811171,0.014401834097540643,0.007565652355147979
1841,297488,31267,221812,27395,10330,0,Dutchess County,36,027,0.10510339912870435,0.745616629914484,0.09208774807723337,0.03472408971118163
1842,919040,41731,714156,119916,23621,0,Erie County,36,029,0.045407163997214485,0.7770673746518106,0.13047963091922005,0.025701819289693593
1843,39370,993,36588,982,260,0,Essex County,36,031,0.02522225044450089,0.9293370586741173,0.02494284988569977,0.006604013208026416
1844,51599,1506,42640,2834,215,0,Franklin County,36,033,0.029186612143646196,0.8263726041202349,0.05492354502994244,0.004166747417585612
1845,55531,1263,52110,981,320,0,Fulton County,36,035,0.022744052871369144,0.9383947704885559,0.017665808287262972,0.0057625470457942415
1846,60079,1616,54990,1491,355,0,Genesee County,36,037,0.026897917741640173,0.9152948617653422,0.02481732385692172,0.005908886632600409
1847,49221,2419,42857,2606,382,0,Greene County,36,039,0.04914568984782918,0.8707055931411389,0.052944881249873024,0.00776091505658154
1848,4836,51,4664,33,24,0,Hamilton County,36,041,0.01054590570719603,0.9644334160463193,0.006823821339950372,0.004962779156327543
1849,64519,1040,61690,640,325,0,Herkimer County,36,043,0.01611928269192021,0.9561524512159209,0.009919558579643205,0.005037275841225065
1850,116229,6143,99682,5475,1464,0,Jefferson County,36,045,0.052852558311608976,0.8576344974145867,0.04710528353509021,0.012595823761711793
1851,2504700,496285,893306,799066,260129,0,Kings County,36,047,0.19814149399129635,0.3566518944384557,0.31902662993572084,0.10385635006188366
1852,27087,357,26225,170,72,0,Lewis County,36,049,0.013179754125595303,0.9681766160888987,0.006276073393140621,0.0026581016723889687
1853,65393,1802,60296,1491,780,0,Livingston County,36,051,0.02755646628844066,0.9220558775404095,0.022800605569403453,0.011927882189225147
1854,73442,1316,68916,1260,576,0,Madison County,36,053,0.017918901990686527,0.9383731379864383,0.01715639552299774,0.007842923667656109
1855,744344,54005,542034,107448,24023,0,Monroe County,36,055,0.0725538192018744,0.728203626280322,0.14435261115828166,0.03227405608159668
1856,50219,5654,42732,712,356,0,Montgomery County,36,057,0.11258686951153946,0.8509130010553775,0.014177900794520002,0.007088950397260001
1857,1339532,195355,877309,141305,101558,0,Nassau County,36,059,0.1458382479851172,0.6549369481281522,0.10548833473183171,0.07581603127062288
1858,1585873,403577,761493,205340,177624,0,New York County,36,061,0.25448254683697874,0.48017275027697676,0.12948073395536716,0.11200392465222625
1859,216469,4694,188907,14511,1807,0,Niagara County,36,063,0.02168439822792178,0.8726746092974051,0.06703500270246548,0.00834761559391876
1860,234878,10819,199254,13682,6522,0,Oneida County,36,065,0.0460622110201892,0.8483297712003679,0.05825151780924565,0.027767607013002495
1861,467026,18829,370040,48696,14370,0,Onondaga County,36,067,0.04031681319669569,0.792332760916951,0.10426828484923752,0.030769164885895005
1862,107931,3679,99119,2226,1111,0,Ontario County,36,069,0.03408659235993366,0.9183552454809091,0.020624287739389055,0.010293613512336585
1863,372813,67185,254259,33895,8685,0,Orange County,36,071,0.18021099049657602,0.6820014323534855,0.09091689399243053,0.02329586146405839
