,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,gps_code,iata_code,local_code
172,19672,KDVT,small_airport,Phoenix Deer Valley Airport,33.6883,-112.083,1478,US-AZ,Phoenix,KDVT,DVT,DVT
173,21061,KSGJ,medium_airport,Northeast Florida Regional Airport,29.9592,-81.3398,10,US-FL,St Augustine,KSGJ,UST,SGJ
174,3717,KMYR,medium_airport,Myrtle Beach International Airport,33.6797,-78.9283,25,US-SC,Myrtle Beach,KMYR,MYR,MYR
175,3356,KABE,medium_airport,Lehigh Valley International Airport,40.6521,-75.4408,393,US-PA,Allentown,KABE,ABE,ABE
176,3551,KGCN,medium_airport,Grand Canyon National Park Airport,35.9524,-112.147,6609,US-AZ,Grand Canyon,KGCN,GCN,GCN
177,3541,KFSD,medium_airport,Joe Foss Field Airport,43.582,-96.7419,1429,US-SD,Sioux Falls,KFSD,FSD,FSD
178,20578,KMVY,small_airport,Martha's Vineyard Airport,41.3931,-70.6143,67,US-MA,Martha's Vineyard,KMVY,MVY,MVY
179,3547,KFWA,large_airport,Fort Wayne International Airport,40.9785,-85.1951,814,US-IN,Fort Wayne,KFWA,FWA,FWA
180,3402,KBFL,medium_airport,Meadows Field,35.4336,-119.057,510,US-CA,Bakersfield,KBFL,BFL,BFL
181,3763,KPAE,medium_airport,Snohomish County (Paine Field) Airport,47.9063,-122.282,606,US-WA,Everett,KPAE,PAE,PAE
182,3794,KPUB,small_airport,Pueblo Memorial Airport,38.2891,-104.497,4726,US-CO,Pueblo,KPUB,PUB,PUB
183,19331,KAVX,small_airport,Catalina Airport,33.4049,-118.416,1602,US-CA,Avalon,KAVX,AVX,AVX
184,20296,KL35,small_airport,Big Bear City Airport,34.2638,-116.856,6752,US-CA,Big Bear,L35,RBF,L35
185,21314,KVCB,small_airport,Nut Tree Airport,38.3768,-121.962,117,US-CA,Vacaville,KVCB,,VCB
186,3523,KFAR,medium_airport,Hector International Airport,46.9207,-96.8158,902,US-ND,Fargo,KFAR,FAR,FAR
187,3609,KILM,medium_airport,Wilmington International Airport,34.2706,-77.9026,32,US-NC,Wilmington,KILM,ILM,ILM
188,3961,KNYL,medium_airport,Yuma MCAS/Yuma International Airport,32.6566,-114.606,213,US-AZ,Yuma,KNYL,YUM,NYL
189,3934,KTVL,medium_airport,Lake Tahoe Airport,38.8939,-119.995,6264,US-CA,South Lake Tahoe,KTVL,TVL,TVL
190,19308,KASE,medium_airport,Aspen-Pitkin Co/Sardy Field,39.2232,-106.869,7820,US-CO,Aspen,KASE,ASE,ASE
191,21047,KSEE,small_airport,Gillespie Field,32.8262,-116.972,388,US-CA,San Diego/El Cajon,KSEE,SEE,SEE
192,3467,KCRW,large_airport,Yeager Airport,38.3731,-81.5932,981,US-WV,Charleston,KCRW,CRW,CRW
193,3854,KROA,large_airport,Roanoke–Blacksburg Regional Airport,37.3255,-79.9754,1175,US-VA,Roanoke,KROA,ROA,ROA
194,3647,KLNK,medium_airport,Lincoln Airport,40.851,-96.7592,1219,US-NE,Lincoln,KLNK,LNK,LNK
195,3679,KMFR,medium_airport,Rogue Valley International Medford Airport,42.3742,-122.873,1335,US-OR,Medford,KMFR,MFR,MFR
196,3360,KACK,medium_airport,Nantucket Memorial Airport,41.2531,-70.0602,47,US-MA,Nantucket,KACK,ACK,ACK
197,3659,KLUK,medium_airport,Cincinnati Municipal Airport Lunken Field,39.1033,-84.4186,483,US-OH,Cincinnati,KLUK,LUK,LUK
198,3414,KBKL,medium_airport,Burke Lakefront Airport,41.5175,-81.6833,583,US-OH,Cleveland,KBKL,BKL,BKL
199,3539,KFRG,medium_airport,Republic Airport,40.7288,-73.4134,82,US-NY,Farmingdale,KFRG,FRG,FRG
200,3950,KVRB,medium_airport,Vero Beach Regional Airport,27.6556,-80.4179,24,US-FL,Vero Beach,KVRB,VRB,VRB
