STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	VIOL	PROPERTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
9999	1	4	184	5	143	220444	210498	11	10	99.5721	882	6577	10	133	62	677	1265	4994	318	25
9999	1	4	185	5	145	78917	55197	11	10	97.518	93	1830	2	20	7	64	653	1031	146	7
9999	1	4	186	5	147	7055	3822	3	2	43.7729	11	125	0	1	2	8	31	90	4	0
9999	1	4	187	5	149	21858	21256	5	4	100	56	525	0	11	8	37	192	302	31	2
9999	1	4	188	6	1	1570821	1570821	26	22	100	11739	60133	113	362	6806	4458	11718	34822	13593	310
9999	1	4	189	6	3	1121	1121	2	2	100	6	33	0	0	0	6	8	25	0	0
9999	1	4	190	6	5	36824	36824	6	6	100	100	798	0	7	10	83	279	479	40	12
9999	1	4	191	6	7	222365	222365	13	10	100	634	6223	13	79	148	394	1685	3642	896	55
9999	1	4	192	6	9	44556	44556	5	5	100	130	1080	5	21	11	93	361	539	180	0
9999	1	4	193	6	11	21429	21429	6	5	100	43	535	0	7	6	30	163	318	54	1
9999	1	4	194	6	13	1090133	1090133	30	26	100	3961	31351	42	148	1533	2238	7802	16823	6726	151
9999	1	4	195	6	15	28231	28231	3	3	100	175	589	0	20	29	126	222	234	133	11
9999	1	4	196	6	17	180610	180610	7	5	100	390	3272	5	37	39	309	1012	1959	301	6
9999	1	4	197	6	19	954305	954305	24	21	100	4868	36698	57	163	1221	3427	9102	21257	6339	398
9999	1	4	198	6	21	27995	27995	5	5	100	151	714	0	14	12	125	226	424	64	4
9999	1	4	199	6	23	134938	134938	11	10	100	474	4984	8	47	124	295	1264	3160	560	56
9999	1	4	200	6	25	177955	169894	12	9	100	517	5698	2	29	102	384	1387	3759	552	50
9999	1	4	201	6	27	18508	18508	4	4	100	75	308	0	7	5	63	98	192	18	1
9999	1	4	202	6	29	862202	862202	18	15	100	4969	33381	61	171	1285	3452	10728	16851	5802	545
9999	1	4	203	6	31	151256	151256	10	8	100	725	3723	6	35	123	561	858	2413	452	29
9999	1	4	204	6	33	63816	63816	5	4	100	356	1833	4	31	51	270	742	880	211	21
9999	1	4	205	6	35	33325	33325	6	4	100	127	576	2	10	11	104	223	317	36	9
9999	1	4	206	6	37	10022399	10022399	108	102	100	40384	228419	543	1752	16783	21306	48172	141312	38935	2261
9999	1	4	207	6	39	152772	152772	6	5	100	1017	3934	13	59	132	813	1454	1930	550	11
9999	1	4	208	6	41	257458	257458	15	14	100	491	5012	2	48	136	305	1354	3009	649	44
9999	1	4	209	6	43	17815	17815	2	2	100	84	306	0	6	1	77	98	194	14	0
9999	1	4	210	6	45	87429	87429	8	7	100	472	1851	4	31	39	398	599	1059	193	33
9999	1	4	211	6	47	264498	264498	13	11	100	1555	8096	27	78	231	1219	2097	4657	1342	125
9999	1	4	212	6	49	9216	9216	4	4	100	69	168	2	12	3	52	57	97	14	2
9999	1	4	213	6	51	14394	14394	4	3	100	29	221	0	0	5	24	53	159	9	1
9999	1	4	214	6	53	430882	430882	19	18	100	1794	10940	47	82	655	1010	2706	6036	2198	60
9999	1	4	215	6	55	139982	139982	10	9	100	417	2574	2	37	83	295	605	1732	237	21
9999	1	4	216	6	57	98260	98260	7	6	100	433	1788	2	18	21	392	587	1024	177	9
9999	1	4	217	6	59	3118731	3118731	45	41	100	6042	61650	51	424	1993	3574	10416	44001	7233	268
9999	1	4	218	6	61	366094	366094	9	8	100	660	7209	2	54	114	490	1672	4982	555	46
9999	1	4	219	6	63	19248	19248	4	3	100	92	390	1	12	2	77	141	235	14	2
9999	1	4	220	6	65	2294504	2294504	41	34	100	6203	65134	94	341	2103	3665	16622	38627	9885	213
9999	1	4	221	6	67	1461488	1461488	20	17	100	7515	44326	78	307	2521	4609	10183	27153	6990	272
