,aqi_good_2013,aqi_bad_2013,State,County,aqi_good_2014,aqi_bad_2014,aqi_good_2015,aqi_bad_2015,aqi_good_2016,aqi_bad_2016,aqi_good_2017,aqi_bad_2017
138,0.7945205479452054,0.0,Delaware,Sussex,0.7150684931506849,0.0,0.7342465753424657,0.0,0.7923497267759563,0.0,0.8205128205128205,0.0
139,0.5561643835616439,0.0,District Of Columbia,District of Columbia,0.6164383561643836,0.0,0.5945205479452055,0.0,0.5765027322404371,0.0,0.572992700729927,0.0
140,0.8941504178272981,0.0,Florida,Alachua,0.9113573407202216,0.0,0.9068493150684932,0.0,0.8916666666666667,0.0,0.8397790055248618,0.0
141,0.9726027397260274,0.0,Florida,Baker,0.9585635359116023,0.0,0.978021978021978,0.0,0.9329608938547486,0.0,0.9096045197740112,0.0
142,0.8516483516483516,0.0,Florida,Bay,0.8054794520547945,0.0,0.873972602739726,0.0,0.8961748633879781,0.0,0.8453038674033149,0.0
143,0.8958904109589041,0.0,Florida,Brevard,0.8547945205479452,0.0,0.9123287671232877,0.0,0.907103825136612,0.0,0.8342541436464088,0.0
144,0.8410958904109589,0.0,Florida,Broward,0.863013698630137,0.0,0.8684931506849315,0.0,0.817174515235457,0.0,0.7016574585635359,0.0
145,0.946969696969697,0.0,Florida,Citrus,0.857566765578635,0.0,0.8931506849315068,0.0,0.8873626373626373,0.0,0.8232044198895028,0.0
146,0.8712328767123287,0.0,Florida,Collier,0.8876712328767123,0.0,0.8815426997245179,0.0,0.9180327868852459,0.0,0.8674033149171271,0.0
147,0.8104395604395604,0.0,Florida,Columbia,0.8905325443786982,0.0,0.897196261682243,0.0,0.8202898550724638,0.0,0.7624309392265194,0.0
148,0.863013698630137,0.0,Florida,Duval,0.7287671232876712,0.0,0.8493150684931506,0.0,0.7349726775956285,0.0,0.7292817679558011,0.0
149,0.7808219178082192,0.0,Florida,Escambia,0.7479452054794521,0.0,0.8,0.0,0.8579234972677595,0.0,0.8011049723756906,0.0
150,0.9506849315068493,0.0,Florida,Flagler,0.9305555555555556,0.0,0.9863013698630136,0.0,0.9558011049723757,0.0,0.9217877094972067,0.0
151,0.8603351955307262,0.0,Florida,Hamilton,0.8338192419825073,0.0,0.8725212464589235,0.0,0.8992537313432836,0.0,0.8305084745762712,0.0
152,0.9333333333333333,0.0,Florida,Highlands,0.9342857142857143,0.0,0.9691011235955056,0.0,0.9559228650137741,0.0,0.9157303370786517,0.0
153,0.684931506849315,0.0,Florida,Hillsborough,0.6493150684931507,0.0,0.6520547945205479,0.0,0.7041095890410959,0.0,0.6685082872928176,0.0
154,0.8489010989010989,0.0,Florida,Holmes,0.8054794520547945,0.0,0.9058171745152355,0.0,0.8360655737704918,0.0,0.8232044198895028,0.0
155,0.9151515151515152,0.0,Florida,Indian River,0.9025787965616046,0.0,0.960960960960961,0.0,0.9294117647058824,0.0,0.8640776699029126,0.0
156,0.949438202247191,0.0,Florida,Lake,0.914364640883978,0.0,0.9532967032967034,0.0,0.8952095808383234,0.0,0.8453038674033149,0.0
157,0.8684931506849315,0.0,Florida,Lee,0.8383561643835616,0.0,0.9068493150684932,0.0,0.8852459016393442,0.0,0.8232044198895028,0.0
158,0.8301369863013699,0.0027397260273972603,Florida,Leon,0.684931506849315,0.0,0.7520661157024794,0.0,0.8227146814404432,0.0,0.6833333333333333,0.0
159,0.9645390070921985,0.0,Florida,Liberty,0.9772079772079773,0.0,0.9801136363636364,0.0,0.9736842105263158,0.0,0.9785407725321889,0.0
160,0.9340659340659341,0.0,Florida,Manatee,0.9123287671232877,0.0,0.9205479452054794,0.0,0.9371584699453552,0.0,0.8839779005524862,0.0
161,0.8383561643835616,0.0,Florida,Marion,0.8410958904109589,0.0,0.8794520547945206,0.0,0.8852459016393442,0.0,0.8287292817679558,0.0
162,0.9176136363636364,0.0,Florida,Martin,0.90633608815427,0.0,0.8986301369863013,0.0,0.9008264462809917,0.0,0.8277777777777777,0.0
