	COUNTY	NAME	ST	B00001_001E	B01001_001E	B00002_001E	B08201_001E	state	county
2538	031	Blanco County, Texas	48	975	10723	491	4164	48	031
2539	033	Borden County, Texas	48	204	705	117	262	48	033
2540	035	Bosque County, Texas	48	2882	17971	1460	6999	48	035
2541	037	Bowie County, Texas	48	7360	93155	3016	33423	48	037
2542	039	Brazoria County, Texas	48	20236	331741	7724	112510	48	039
2543	041	Brazos County, Texas	48	13563	205271	5002	73858	48	041
2544	043	Brewster County, Texas	48	851	9235	574	4025	48	043
2545	045	Briscoe County, Texas	48	439	1670	266	675	48	045
2546	047	Brooks County, Texas	48	545	7221	254	2080	48	047
2547	049	Brown County, Texas	48	4121	37833	1982	13295	48	049
2548	051	Burleson County, Texas	48	1465	17293	758	6401	48	051
2549	053	Burnet County, Texas	48	2939	44144	1414	16940	48	053
2550	055	Caldwell County, Texas	48	3336	39347	1184	12451	48	055
2551	057	Calhoun County, Texas	48	1553	21666	858	7994	48	057
2552	059	Callahan County, Texas	48	1575	13532	807	5273	48	059
2553	061	Cameron County, Texas	48	28310	417947	10314	121097	48	061
2554	063	Camp County, Texas	48	988	12516	439	4431	48	063
2555	065	Carson County, Texas	48	923	6068	440	2293	48	065
2556	067	Cass County, Texas	48	2974	30328	1494	11691	48	067
2557	069	Castro County, Texas	48	1026	7948	420	2501	48	069
2558	071	Chambers County, Texas	48	2194	37251	901	13018	48	071
2559	073	Cherokee County, Texas	48	4359	51167	1769	17729	48	073
2560	075	Childress County, Texas	48	592	7059	180	2391	48	075
2561	077	Clay County, Texas	48	1891	10479	946	4146	48	077
2562	079	Cochran County, Texas	48	704	2993	320	1030	48	079
2563	081	Coke County, Texas	48	580	3238	436	1601	48	081
2564	083	Coleman County, Texas	48	1024	8536	702	3405	48	083
2565	085	Collin County, Texas	48	55441	862215	20891	305827	48	085
2566	087	Collingsworth County, Texas	48	508	3058	251	1109	48	087
2567	089	Colorado County, Texas	48	1490	20757	761	7657	48	089
2568	091	Comal County, Texas	48	7108	119632	3037	43951	48	091
2569	093	Comanche County, Texas	48	1606	13623	865	5119	48	093
2570	095	Concho County, Texas	48	658	4086	340	813	48	095
2571	097	Cooke County, Texas	48	4074	38761	1774	14598	48	097
2572	099	Coryell County, Texas	48	7508	76128	2291	21829	48	099
2573	101	Cottle County, Texas	48	318	1510	192	635	48	101
2574	103	Crane County, Texas	48	559	4730	211	1542	48	103
2575	105	Crockett County, Texas	48	216	3699	97	1433	48	105
2576	107	Crosby County, Texas	48	1151	6007	531	2189	48	107
2577	109	Culberson County, Texas	48	343	2296	172	788	48	109
2578	111	Dallam County, Texas	48	762	7014	332	2256	48	111
2579	113	Dallas County, Texas	48	162548	2485003	65615	881279	48	113
2580	115	Dawson County, Texas	48	1453	13542	536	4232	48	115
2581	117	Deaf Smith County, Texas	48	1583	19245	611	6194	48	117
2582	119	Delta County, Texas	48	782	5223	371	1928	48	119
2583	121	Denton County, Texas	48	50257	731851	18883	257275	48	121
2584	123	DeWitt County, Texas	48	2276	20540	1018	7061	48	123
2585	125	Dickens County, Texas	48	504	2281	333	878	48	125
2586	127	Dimmit County, Texas	48	571	10682	277	3568	48	127
