,COUNTY,NAME,ST,Population,Num_household,Household_size,Age25_over,Num_pov_det,Num_in_pov,Median_hhinc,Incpc,median_rent_value,median_home_value,state,county,Pov_rate
336,035,"Flagler County, Florida",12,5808,2945,36950,75111,99791,14814,47866.0,24360,861.0,164100.0,12,035,0.14845026104558529
337,037,"Franklin County, Florida",12,1362,763,4338,8845,9756,1977,40401.0,20868,514.0,122600.0,12,037,0.20264452644526446
338,039,"Gadsden County, Florida",12,3690,1506,16964,31887,43945,11907,35567.0,17834,464.0,108400.0,12,039,0.2709523267721015
339,041,"Gilchrist County, Florida",12,1853,724,6187,11298,15748,3598,40623.0,21436,497.0,99900.0,12,041,0.2284734569469139
340,043,"Glades County, Florida",12,1239,627,3920,9919,11916,2408,34877.0,17879,556.0,84500.0,12,043,0.2020812353138637
341,045,"Gulf County, Florida",12,1490,647,5349,11884,13437,1924,41788.0,19631,636.0,142700.0,12,045,0.14318672322691076
342,047,"Hamilton County, Florida",12,1835,596,4688,9611,11043,3234,35048.0,14742,376.0,69500.0,12,047,0.2928552023906547
343,049,"Hardee County, Florida",12,2068,727,7618,17531,25643,7029,35457.0,16298,502.0,80700.0,12,049,0.27410989353819754
344,051,"Hendry County, Florida",12,2066,788,11345,23915,36744,9696,36771.0,16980,561.0,72400.0,12,051,0.263879817112998
345,053,"Hernando County, Florida",12,12030,5763,70452,129497,171873,27375,40945.0,21586,714.0,109300.0,12,053,0.15927458064966574
346,055,"Highlands County, Florida",12,6153,3310,40397,74390,97095,18863,35093.0,21117,568.0,85200.0,12,055,0.1942736495185128
347,057,"Hillsborough County, Florida",12,89895,38462,486078,871891,1282679,217684,50579.0,27764,831.0,159200.0,12,057,0.1697104263810353
348,059,"Holmes County, Florida",12,2054,845,6828,13884,17630,4903,35020.0,16468,422.0,85100.0,12,059,0.2781055019852524
349,061,"Indian River County, Florida",12,8222,4488,57825,107647,141241,20272,45798.0,31882,724.0,157800.0,12,061,0.14352772920044463
350,063,"Jackson County, Florida",12,5315,2080,16309,35317,41066,9090,35098.0,17196,414.0,92100.0,12,063,0.2213509959577266
351,065,"Jefferson County, Florida",12,1553,570,5411,10838,11713,1862,43355.0,21080,516.0,135200.0,12,065,0.15896866729275164
352,067,"Lafayette County, Florida",12,873,260,2493,5946,7014,1425,35864.0,19404,401.0,109800.0,12,067,0.20316509837467922
353,069,"Lake County, Florida",12,17041,8050,119251,226558,306532,42497,46403.0,24236,769.0,140100.0,12,069,0.1386380541020187
